origLGA,Avg_Distance
BANYULE,7.791522544
BAYSIDE,7.059375723
BOROONDARA,6.561170256
BRIMBANK,9.537230822
CARDINIA,13.67590099
CASEY,10.63353112
DAREBIN,6.908289653
FRANKSTON,10.71161227
GLEN EIRA,6.791479641
GOLDEN PLAINS,50.69578947
GREATER DANDENONG,9.998898772
GREATER GEELONG,9.980129707
HOBSONS BAY,9.438762729
HUME,12.94318705
KINGSTON,8.625820757
KNOX,9.70712763
KNOX ©,41.25
MACEDON RANGES,30.30708955
MANNINGHAM,8.028265499
MARIBYRNONG,7.649538248
MAROONDAH,8.844359195
MELBOURNE,12.40742572
MELTON,10.78100893
MITCHELL,46.78269231
MONASH,9.048101688
MOONEE VALLEY,7.291854426
MOORABOOL,30.95366337
MORELAND,7.119386282
MORNINGTON PENINSULA,12.23135802
MURRINDINDI,27.7955
NILLUMBIK,9.098886584
PORT PHILLIP,8.447201911
QUEENSCLIFFE,18.53816327
STONNINGTON,7.438457031
SURF COAST,28.17053452
WHITEHORSE,7.704779435
WHITTLESEA,10.84030366
WYNDHAM,10.19671986
YARRA,7.667345393
YARRA RANGES,11.74255266
